"AlbumId","Title","ArtistId"
"1","Vector Vixens Volume II","1"
"2","World Class Chill","2"
"3","Critical Heart","2"
"4","Tech Bass Life","1"
"5","Action After Life","3"
"6","Collaborative Rock","4"
"7","Revolutionary Hype","5"
"8","Compelling Nurses","6"
"9","Turn Hop Time","7"
"10","Reinvent Dog Days","8"
"11","Best Of Breed","8"
"12","Target Slam","9"
"13","Efficient Beats","10"
"14","Next Generation Guys","11"
"15","Granular Grape","11"
"16","Cross Chick Cool","12"
"17","Transform Edge Vortals","12"
"18","Clicks And Mortar","13"
"19","Umbrella Architecture Wrap","14"
"20","Envisioneer Interactive","15"
"21","Enhanced Friction","16"
"22","Dot Com Mindshare","16"
"23","Harness Partnerships","17"
"24","Maximize Best Time","18"
"25","Matrix Play Puppy","18"
"26","Money Real Five","19"
"27","Dynamic Hip Fresh","19"
"28","Back In The Day","20"
"29","Incubate","21"
"30","Distributed Depliomats","22"
"31","Extra Sands Linked","23"
"32","End To End Method Rock","21"
"33","Virtual Vibes","24"
"34","Timely Tickle Yap","6"
"35","Easy Beats No Longer","50"
"36","Target Breed Applications","51"
"37","Leverage","52"
"38","Wisdom Swap","53"
"39","Positive People","54"
"40","Ubiquitous Mindshare","55"
"41","User Centric Tunes","56"
"42","Convergence Baby","57"
"43","Methodology Melody","58"
"44","Fire Visionary","22"
"45","Sticky Feet","21"
"46","Rose Water","59"
"47","Open Portal Grad","37"
"48","Cultivate Love","68"
"49","Channel Hype","68"
"50","Embracing District Drones","58"
"51","Vortex Funny Boy","69"
"52","Hip Star Sunny","70"
"53","Bleeding Edge Trap","21"
"54","Robot Infrastructures","76"
"55","Harness Security Mixer","76"
"56","Grown And Sassy","77"
"57","Twenty Four Hipster","77"
"58","Relationship Hater","58"
"59","Drive Key Portals","58"
"60","Yo Hendrix Cool","58"
"61","Nowhere To Go","58"
"62","Party Star Rock","58"
"63","Click Brainstorm Poppy","58"
"64","Cut To The Chase","58"
"65","Wear Everthing Out","58"
"66","Rent Be Due","58"
"67","Hey Hey Hey","78"
"68","Mapped Beat Global","79"
"69","Story Time All The Time","80"
"70","Media Minded Meddlers","80"
"71","Evolving Echo","41"
"72","Snap Clap Whistle","81"
"73","Evicted","81"
"74","Big Deal","82"
"75","Friends","82"
"76","Liars Hanging On The Corner","82"
"77","Breezey Ice Breaker","82"
"78","Get Hyped","83"
"79","Iterate","84"
"80","Blue Album","84"
"81","Riot Hits II","84"
"82","Action Just In Time","84"
"83","Next Generation Ex","85"
"84","Synergize Niches In HiDef","86"
"85","Apple Core Tunes","27"
"86","Door Days","27"
"87","Volume Booster","27"
"88","Hoodoo Beyond Step","87"
"89","Infrastructures Wop","54"
"90","Viral Action Lost","88"
"91","Platform Boogie","88"
"92","Compelling Sisters","88"
"93","embrace clicks-and-mortar platforms","89"
"94","Front Business","90"
"95","Visualize Happy","90"
"96","Open Closed Shut","90"
"97","Drill Back War","90"
"98","House Cost Everything","90"
"99","Streaming Sounds","90"
"100","Landlord","90"
